CUST_ACCT_ID,  TARGET_NET_SALES  ,  TARGET_GROSS_PROFIT  ,YR_MTH
719351,2275,517,4/1/2024
154187,984,119,4/1/2024
105452,2722,279,4/1/2024
103416,984,119,4/1/2024
107920,5336,430,4/1/2024
108993,14817,729,4/1/2024
103439,2275,517,4/1/2024
104810,3919,649,4/1/2024
527911,984,119,4/1/2024
912006,328,40,4/1/2024
143379,984,119,4/1/2024
104315,19441,847,4/1/2024
105189,984,119,4/1/2024
174275,984,119,4/1/2024
103614,7550,304,4/1/2024
64188,984,119,4/1/2024
150696,7550,304,4/1/2024
109405,984,119,4/1/2024
109504,1959,325,4/1/2024
108530,1969,238,4/1/2024
152512,984,119,4/1/2024
542030,49459,1024,4/1/2024
112186,984,119,4/1/2024
830079,6458,1273,4/1/2024
931212,16895,2418,4/1/2024
143750,7189,1017,4/1/2024
461442,4673,655,4/1/2024
931154,3235,449,4/1/2024
273420,1330,120,4/1/2024
394419,96744,1044,4/1/2024
279216,8987,1186,4/1/2024
497690,3767,499,4/1/2024
763476,1797,236,4/1/2024
459842,6780,693,4/1/2024
179474,8578,438,4/1/2024
109534,3652,347,4/1/2024
149417,2018,304,4/1/2024
530359,4067,603,4/1/2024
188723,990,161,4/1/2024
549896,2997,381,4/1/2024
171334,11344,1082,4/1/2024
225876,984,120,4/1/2024
278310,1969,240,4/1/2024
203389,8087,1142,4/1/2024
288990,984,120,4/1/2024
190455,2959,400,4/1/2024
437207,2012,300,4/1/2024
269383,16462,959,4/1/2024
479789,1028,144,4/1/2024
846484,2959,400,4/1/2024
502865,8135,1171,4/1/2024
47896,13779,574,4/1/2024
758595,1028,161,4/1/2024
87904,5698,594,4/1/2024
339204,3943,520,4/1/2024
772452,3987,562,4/1/2024
828348,4024,527,4/1/2024
735371,2012,281,4/1/2024
414817,2012,261,4/1/2024
923346,2012,263,4/1/2024
179222,1796,132,4/1/2024
114094,3590,299,4/1/2024
104464,2997,384,4/1/2024
870540,990,161,4/1/2024
640476,984,120,4/1/2024
618832,3981,520,4/1/2024
396522,11187,964,4/1/2024
894302,3040,444,4/1/2024
258033,2997,381,4/1/2024
192251,2351,317,4/1/2024
753691,3335,472,4/1/2024
997656,1028,181,4/1/2024
824021,2959,400,4/1/2024
769424,10590,702,4/1/2024
822050,1028,142,4/1/2024
71867,5999,825,4/1/2024
470763,2055,324,4/1/2024
462464,6989,983,4/1/2024
572721,11075,1028,4/1/2024
639345,3987,561,4/1/2024
122195,1969,240,4/1/2024
933231,4933,680,4/1/2024
771528,1028,161,4/1/2024
760039,21797,1653,4/1/2024
804728,4073,648,4/1/2024
289354,2012,300,4/1/2024
64236,5368,391,4/1/2024
458056,984,120,4/1/2024
461500,553,39,4/1/2024
810917,2959,400,4/1/2024
69416,6332,840,4/1/2024
246353,2997,383,4/1/2024
128000,6950,385,4/1/2024
164586,4664,646,4/1/2024
756861,6243,858,4/1/2024
209639,1028,144,4/1/2024
55664,3002,461,4/1/2024
830818,4971,664,4/1/2024
767196,18538,1028,4/1/2024
903636,9087,1348,4/1/2024
776502,5009,645,4/1/2024
337339,2997,384,4/1/2024
246486,8767,576,4/1/2024
585045,1974,280,4/1/2024
789538,2537,481,4/1/2024
34372,3235,413,4/1/2024
37513,564,107,4/1/2024
782236,5629,799,4/1/2024
34871,564,107,4/1/2024
685453,564,107,4/1/2024
343299,282,54,4/1/2024
15690,1128,214,4/1/2024
417278,979131,3738,4/1/2024
785163,6613,920,4/1/2024
668163,846,161,4/1/2024
868308,3938,479,4/1/2024
23082,5675,786,4/1/2024
861335,1641,200,4/1/2024
88463,3753,533,4/1/2024
814315,0,-1616,4/1/2024
980843,2204,307,4/1/2024
532877,8359,1495,4/1/2024
140919,7129,639,4/1/2024
117440,9346,1290,4/1/2024
343592,2157,324,4/1/2024
152538,984,119,4/1/2024
612303,3002,442,4/1/2024
569037,1028,144,4/1/2024
268918,1969,240,4/1/2024
257272,1969,240,4/1/2024
247236,13139,1828,4/1/2024
258077,2126,281,4/1/2024
258721,4024,525,4/1/2024
886148,984,120,4/1/2024
876551,1969,240,4/1/2024
117802,3002,460,4/1/2024
842306,2997,384,4/1/2024
845522,3002,461,4/1/2024
863770,155,11,4/1/2024
93352,7008,487,4/1/2024
822895,2012,264,4/1/2024
488870,2997,383,4/1/2024
783406,6079,850,4/1/2024
965528,11724,600,4/1/2024
335660,4971,664,4/1/2024
267403,5014,705,4/1/2024
213982,4067,586,4/1/2024
947086,5310,718,4/1/2024
873871,4184,71,4/1/2024
768205,3943,520,4/1/2024
624679,3943,521,4/1/2024
355625,2012,261,4/1/2024
516637,1974,280,4/1/2024
457521,6207,435,4/1/2024
769222,2997,383,4/1/2024
912400,3002,421,4/1/2024
827384,3008,465,4/1/2024
641533,1974,281,4/1/2024
492043,2055,288,4/1/2024
276506,3002,461,4/1/2024
300629,1028,181,4/1/2024
730063,4358,606,4/1/2024
717289,10673,1429,4/1/2024
804996,984,120,4/1/2024
158627,4680,625,4/1/2024
61670,3002,424,4/1/2024
444903,984,244,4/1/2024
227848,3987,544,4/1/2024
172161,3690,344,4/1/2024
905637,6832,414,4/1/2024
785148,3002,424,4/1/2024
293869,4030,622,4/1/2024
909293,6336,668,4/1/2024
885606,4030,622,4/1/2024
263082,2012,264,4/1/2024
209222,3981,521,4/1/2024
516771,10552,736,4/1/2024
17002,2012,263,4/1/2024
999338,2018,341,4/1/2024
211443,4024,544,4/1/2024
473899,1615,64,4/1/2024
421332,2997,383,4/1/2024
869373,1028,144,4/1/2024
904932,1969,240,4/1/2024
445959,3040,442,4/1/2024
225988,2012,261,4/1/2024
815287,2055,307,4/1/2024
571970,3981,520,4/1/2024
828080,2012,300,4/1/2024
815891,2012,281,4/1/2024
121807,8729,567,4/1/2024
299596,6994,1043,4/1/2024
528522,6123,911,4/1/2024
280698,3998,643,4/1/2024
510938,4928,639,4/1/2024
488595,3002,424,4/1/2024
928935,5228,495,4/1/2024
768749,6085,945,4/1/2024
88480,2297,279,4/1/2024
67550,5063,768,4/1/2024
163201,1641,200,4/1/2024
273152,5014,706,4/1/2024
186951,5020,783,4/1/2024
687522,3002,424,4/1/2024
822900,3987,541,4/1/2024
809219,7995,538,4/1/2024
442645,2012,300,4/1/2024
798217,18827,650,4/1/2024
976378,1691,321,4/1/2024
443672,846,160,4/1/2024
51385,4510,855,4/1/2024
306094,656,80,4/1/2024
497424,1128,214,4/1/2024
233596,1409,268,4/1/2024
27621,32082,728,4/1/2024
665736,3192,160,4/1/2024
710850,564,107,4/1/2024
414862,2944,444,4/1/2024
687410,2242,384,4/1/2024
244624,12449,1163,4/1/2024
931121,1078,181,4/1/2024
405106,4030,568,4/1/2024
141392,984,120,4/1/2024
234785,12155,1730,4/1/2024
299992,6284,823,4/1/2024
359061,3002,442,4/1/2024
861573,2997,383,4/1/2024
447341,1036,73,4/1/2024
886202,1028,144,4/1/2024
506714,8396,688,4/1/2024
863006,1823,152,4/1/2024
117016,4292,430,4/1/2024
592731,4030,568,4/1/2024
384122,2959,400,4/1/2024
426484,5057,785,4/1/2024
887813,984,120,4/1/2024
916261,15375,931,4/1/2024
758088,3987,542,4/1/2024
106417,5057,729,4/1/2024
171627,1028,144,4/1/2024
934237,3451,197,4/1/2024
912229,1632,188,4/1/2024
598055,1028,142,4/1/2024
582496,2363,331,4/1/2024
385560,984,120,4/1/2024
120783,14824,2194,4/1/2024
524893,2012,264,4/1/2024
423018,2447,295,4/1/2024
164054,5570,709,4/1/2024
322881,8772,1076,4/1/2024
459640,3040,407,4/1/2024
393663,2012,264,4/1/2024
270597,5009,647,4/1/2024
398477,2012,300,4/1/2024
788671,1028,144,4/1/2024
622427,3987,562,4/1/2024
180843,4067,586,4/1/2024
837775,2012,263,4/1/2024
103410,1433,153,4/1/2024
487859,7032,1065,4/1/2024
908719,2478,316,4/1/2024
778280,10647,1507,4/1/2024
164469,6030,867,4/1/2024
79644,984,120,4/1/2024
112472,7075,1144,4/1/2024
254505,2012,300,4/1/2024
161949,2012,300,4/1/2024
256330,8097,1172,4/1/2024
243094,4643,303,4/1/2024
809661,2012,263,4/1/2024
749654,3987,561,4/1/2024
748158,2394,342,4/1/2024
851587,3002,461,4/1/2024
209391,11303,1590,4/1/2024
767650,8059,1191,4/1/2024
650007,7541,697,4/1/2024
477312,2012,263,4/1/2024
469108,2012,264,4/1/2024
894830,10783,1290,4/1/2024
729344,3002,441,4/1/2024
87143,4024,562,4/1/2024
813257,4067,603,4/1/2024
315987,1969,240,4/1/2024
269870,4030,605,4/1/2024
28197,1128,214,4/1/2024
192083,644629,6621,4/1/2024
43793,2819,535,4/1/2024
52190,1128,213,4/1/2024
9255,3753,533,4/1/2024
344104,2297,279,4/1/2024
331653,846,161,4/1/2024
118517,3563,453,4/1/2024
844762,2394,387,4/1/2024
687148,282,54,4/1/2024
734008,4367,761,4/1/2024
841663,14317,2336,4/1/2024
40812,10740,1480,4/1/2024
838848,1973,374,4/1/2024
620465,282,54,4/1/2024
742778,2255,427,4/1/2024
333424,1923,253,4/1/2024
755456,1796,319,4/1/2024
303228,656,80,4/1/2024
12074,1969,239,4/1/2024
310218,3721,267,4/1/2024
945411,7189,948,4/1/2024
608273,1797,238,4/1/2024
975257,3595,484,4/1/2024
364462,1313,159,4/1/2024
935124,4024,544,4/1/2024
269509,1028,144,4/1/2024
93681,2953,360,4/1/2024
290278,2997,402,4/1/2024
179292,4933,680,4/1/2024
269562,3083,503,4/1/2024
233980,9066,1203,4/1/2024
223944,2012,264,4/1/2024
92931,984,120,4/1/2024
926855,2012,300,4/1/2024
844176,984,120,4/1/2024
455652,2394,361,4/1/2024
163885,1028,144,4/1/2024
926593,1969,240,4/1/2024
853893,3002,424,4/1/2024
803694,4030,622,4/1/2024
830029,984,120,4/1/2024
